"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7976496",2.63908672213189,7.05932646224281,24.4389083128823,1.13630491795772e-74,3.78355448532383e-70,159.142735442726
"8045291",0.994593883317836,7.32981225219489,23.11554551414,8.87437820695889e-70,1.47745085578555e-65,148.021408020402
"7992987",0.668352103275838,8.55727388368051,22.8510613071146,8.61281599536863e-69,9.55936447325964e-65,145.776792398483
"8160168",-1.0546407003114,5.6094150132492,-22.7309049404371,2.42384177385106e-68,2.01766648859797e-64,144.754763112184
"7982204",-0.703860314052424,8.92367897906709,-22.1944197491037,2.4997420662047e-66,1.66467823156836e-62,140.174632650496
"8000409",-0.701379657614822,8.75458777001917,-21.9691856663503,1.76398424400535e-65,9.78923056210771e-62,138.243809715695
"7914075",1.78689576927746,8.00934878392332,21.0340838240135,6.15061908657686e-62,2.92567376751071e-58,130.18131720253
"7989146",-1.06153777329943,4.75264668655911,-20.9070776516174,1.87189878932782e-61,7.79107674853106e-58,129.080906815072
"8123446",-1.1855172672016,7.05270270629074,-20.4810083613646,7.89488068823016e-60,2.92084269195555e-56,125.380871843298
"8174119",-0.733366947884926,6.75262716232907,-19.6413645073643,1.2998405560395e-56,4.32807909944471e-53,118.05528903782
"7986092",0.6034456256078,6.85155789203514,18.9657535815159,5.1635702144141e-54,1.56301270390315e-50,112.1342988824
"7923347",0.669342856095337,5.53158391146645,18.9522893566449,5.81868235061373e-54,1.61453888523655e-50,112.016107997981
"8162404",-1.00043480624884,6.19523665429712,-18.8153231310769,1.96187030847237e-53,5.02495351240035e-50,110.813436416484
"8165277",0.917414388416083,5.63321816814058,18.5635570012907,1.83470229312288e-52,4.36357730386517e-49,108.601162348064
"8074991",0.830097388678047,6.91341829287859,18.4830223713966,3.7521929075532e-52,8.3291178161866e-49,107.89312397887
"8156278",0.627092333601111,6.34105492656869,18.4352910381575,5.73420408278239e-52,1.19332370840253e-48,107.473405979617
"8063923",1.36131454823874,6.51564450262939,18.4221902387798,6.44215117683785e-52,1.261790045501e-48,107.358196569189
"8102532",-1.0190080451859,6.46441264810543,-18.4121642882559,7.04244534208444e-52,1.30273501419659e-48,107.270024889906
"7965403",-1.23122721204677,9.67284804456549,-18.2291527752409,3.58227259511878e-51,6.27783845261421e-48,105.660174622553
"8162394",-1.82276361132785,7.56490257676997,-17.7880080633429,1.81068930510599e-49,3.0145260896057e-46,101.777438237656
"7931977",-0.81120245517435,6.95710259104792,-17.6768669623627,4.86595543250728e-49,7.71531990648546e-46,100.798934267423
"8126066",0.377124803598622,8.50051370465176,17.4878418922662,2.61431699413471e-48,3.95676877062289e-45,99.1346506619515
"8073449",0.82848295417086,8.65143978649521,17.4304537471052,4.3554852583073e-48,6.30541707155905e-45,98.629378239751
"8057506",-1.35683816206484,5.99723149433866,-17.2865543967965,1.56620784299953e-47,2.17291760618147e-44,97.3624866366209
"8146159",-0.500148865239655,6.76551934281789,-17.1648160293202,4.6237903319748e-47,6.1583338673506e-44,96.2908273532152
"8169115",-0.993418645457584,5.2941483357508,-17.1292462628966,6.3438350735087e-47,8.12425678625458e-44,95.9777382809933
"8147516",-0.88330672948093,5.89951015529712,-17.1206137515907,6.84991861219746e-47,8.44747185297551e-44,95.9017563587147
"7984813",-0.820468913867023,6.24951145401597,-17.1105934254034,7.4881966005436e-47,8.90480293601072e-44,95.8135603550597
"8044021",1.75892137869753,5.8379753734984,17.08276539702,9.59018655629136e-47,1.10111876470632e-43,95.5686333296015
"8037614",0.721030492590767,5.9849352501885,17.0514790656451,1.26655389904684e-46,1.40574817255209e-43,95.2932815440351
"7920552",-0.69545371691841,6.02779303327796,-17.0371695801541,1.43836884971594e-46,1.54494734158037e-43,95.1673483564528
"8055194",0.857905214403413,4.57848156314377,17.0294002667066,1.54122369807068e-46,1.60369142108311e-43,95.0989744735942
"7980970",0.412442696842389,7.46919357201278,17.0227033591074,1.63576315430723e-46,1.65048502269599e-43,95.0400390813025
"8123104",-1.02653577283503,5.45071536353035,-17.0019751027537,1.96672553900948e-46,1.92606059624701e-43,94.8576270288679
"7959002",-0.721213650807992,6.46644179416294,-16.9975925810262,2.04485466782636e-46,1.94535788213184e-43,94.8190610417486
"7952011",-0.884945278393734,6.06865124552396,-16.9794161288636,2.40342638206522e-46,2.22296911787849e-43,94.6591126397318
"8068522",-0.38742742160431,7.75311216792013,-16.8676462176906,6.48998622728608e-46,5.84046138945796e-43,93.6756998408465
"8143144",-0.998261637952931,5.74996457041534,-16.7386881162529,2.0410126986503e-45,1.78841052176208e-42,92.5413890735679
"7960794",1.52003978927937,7.42486539244089,16.6621946844478,4.02639026750173e-45,3.43760812146167e-42,91.8687516238773
"8139087",-1.77690416317996,4.9718810764984,-16.619357217248,5.89016318711295e-45,4.9031190910325e-42,91.492135394252
"8134463",0.856335367606761,5.62983344544728,16.6000503867723,6.99165680364543e-45,5.6780779656337e-42,91.322412156711
"7931097",-0.556438637384055,7.62671469441214,-16.5828268542972,8.14694478409991e-45,6.45878143990892e-42,91.1710123457164
"7996198",-0.783971367254484,5.63183353891054,-16.5194748314288,1.42970600545888e-44,1.10709118287824e-41,90.6142097086854
"8066964",0.375392406082418,6.88507865030671,16.392942508149,4.39446933556162e-44,3.32551466968626e-41,89.502518312334
"7929634",0.450636164320704,7.7716932074984,16.3745529018498,5.17319683013645e-44,3.8278207745123e-41,89.3409984654839
"7896730",-0.855379637913133,6.05509991635144,-16.3164362050305,8.66235948117222e-44,6.27023007923025e-41,88.8306326088557
"7933750",-0.872542130197323,4.21035014748243,-16.2372199502268,1.7486193222975e-43,1.2388037781817e-40,88.1351951617311
"8092691",0.718761567108756,8.24022120159425,16.141532295079,4.08342555085976e-43,2.83262126181203e-40,87.2955163857176
"7985934",0.676457262354435,5.990417884623,16.1165683070419,5.09433845415303e-43,3.46175892873333e-40,87.0765208194787
"7898328",0.301198954749252,8.294812901623,16.1057874887137,5.60491595193419e-43,3.68538673503732e-40,86.9819556085579
"8097307",-0.394021474765493,5.92268612873482,-16.1049872353675,5.6447945306455e-43,3.68538673503732e-40,86.9749363129759
"8117458",-0.667734160479103,6.38238516323962,-16.096233014693,6.09999897313349e-43,3.90599357323896e-40,86.8981520512176
"8013191",0.384234328379319,8.38754326787859,16.0484218048695,9.31650501327578e-43,5.85305032881214e-40,86.4788601148104
"8000244",0.574032329337818,8.82375758568371,16.032589387593,1.07188248205422e-42,6.60934648239989e-40,86.3400388051348
"7916747",0.295340987670613,9.78230973183706,16.0145155751294,1.25792652961918e-42,7.61548721031454e-40,86.1815800122493
"8092457",0.508655552680084,7.68665671498083,16.0065156219941,1.35026519912035e-42,8.02853220269825e-40,86.1114472219926
"8173287",1.2991849971537,7.11963648226518,15.9895968921765,1.56846636166869e-42,9.16232007797937e-40,85.9631374871808
"7934334",-0.488158087449152,4.03799206853674,-15.9494941827412,2.23692950788434e-42,1.28419037627629e-39,85.6116565618732
"8091354",-0.542990249817796,7.58537321733227,-15.9412723397047,2.40578588675698e-42,1.3577195368025e-39,85.5396066180519
